"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DDX3Y",4.05182796817322,3.36383605724182,22.2469580989487,6.00259938102403e-43,1.29878242807217e-38,52.6866243830836
"UTY",2.94536397015222,2.45331556812165,19.0576686668246,5.65176761955007e-37,6.11436479921024e-33,46.6581077112404
"EIF1AY",4.12985021736327,3.42309697302894,18.8401957868024,1.51180051108524e-36,1.09036092194504e-32,46.1950265312676
"RPS4Y1",4.71905048863844,4.12020581315838,16.2306783113113,3.23188029174846e-31,1.74820484681404e-27,40.0587871759416
"ZFY",2.88831626596044,2.3767111348079,14.776100865964,4.35420733152991e-28,1.88423968064626e-24,36.1467066200743
"KDM5D",1.83551418188377,1.6319331156232,12.1009170141675,4.45213677620699e-22,1.60551472377984e-18,28.0088020393
"USP9Y",1.57321005377666,1.37238066798135,10.9250323132267,2.30581635249243e-19,7.12727834555409e-16,24.07433354929
"PRKY",1.36429421882365,1.2606925374123,10.0822110895523,2.07964641494566e-17,5.6246636850224e-14,21.145563275837
"LINC00278",1.96363426507352,1.61191862583701,9.59281630858955,2.82971366468104e-16,6.80294606252263e-13,19.4123454763109
"TTTY14",0.875157680528111,0.724549969884956,8.28985048927469,2.74865939358304e-13,5.94727432989563e-10,14.7291948032519
"TXLNGY",0.670971560457651,0.585279929630801,6.31129785307778,5.68165687733047e-09,1.1175819077709e-05,7.69890542225507
"TMSB4Y",1.75889354830005,1.33625971436457,5.53812285219398,2.03832330281766e-07,0.000367526677525548,5.10431223384489
"SMC1A",-0.465863244832279,4.99136409402838,-4.57216919214962,1.24958006240044e-05,0.0207978183155065,2.09787953470307
"XIST",-0.410264024311272,0.301339429896841,-3.99779634926824,0.000114797851588681,0.177420079630306,0.476453363727642
"TTTY10",0.507967831666032,0.483997234379031,3.87677446626786,0.000178714775033977,0.257790105827344,0.153622916213536
"ZFX",-0.606874997549254,3.18011578141713,-3.58292482589269,0.000503911249341344,0.681445481374917,-0.600398671913227
"RABL2A",0.535989949899744,0.985216777989409,3.50857210839423,0.000649293867102843,0.826398317794365,-0.784204445461118
"FUT7",0.828137829544141,2.02048023087317,3.41403441284865,0.000891507624554101,0.999798845119145,-1.01368030253086
