ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001819	positive regulation of cytokine production	29/291	486/18903	5.12555814384293e-10	1.77036778288335e-06	1.4820956022249e-06	H19/GBP5/ELANE/GAPDH/AZU1/AGPAT1/STAT1/ZBTB7B/MMP8/ATF4/HSPB1/CLEC4E/FCER1G/CCR2/AIM2/PARK7/FFAR2/CD274/SAA1/STAT3/IL18/IL27/C3AR1/LRRK2/IRF1/ORM1/MAPKAPK2/CLEC5A/TLR7	29
GO:0050727	regulation of inflammatory response	26/291	414/18903	1.44749014741882e-09	2.4998154845923e-06	2.09276601839973e-06	FCGR1A/ELANE/S100A9/MMP8/SOCS3/CST7/ZYX/S100A8/SLAMF8/CASP5/CCR2/CASP4/AIM2/PARK7/FFAR2/VAMP8/SAA1/NCF1/IL18/PGLYRP1/LRRK2/TNFAIP6/GPX4/GPX1/S100A12/TLR7	26
GO:0050832	defense response to fungus	10/291	56/18903	1.22111564765457e-08	1.40591114899963e-05	1.1769840996867e-05	MPO/ELANE/CTSG/GAPDH/DEFA4/S100A9/S100A8/CLEC4E/CLEC4D/S100A12	10
GO:0042742	defense response to bacterium	23/291	382/18903	2.91443457698304e-08	2.51661425722485e-05	2.10682941657169e-05	MPO/FCGR1A/ELANE/CTSG/AZU1/GBP2/DEFA4/S100A9/S100A8/GBP4/CLEC4E/FCER1G/SLAMF8/CASP4/CLEC4D/H2BC12/IL18/CRP/PGLYRP1/GBP6/ANXA3/IGHV3-30/S100A12	23
GO:0009620	response to fungus	10/291	67/18903	7.32604643283695e-08	5.06083287580376e-05	4.23676832652697e-05	MPO/ELANE/CTSG/GAPDH/DEFA4/S100A9/S100A8/CLEC4E/CLEC4D/S100A12	10
GO:0050729	positive regulation of inflammatory response	14/291	154/18903	1.17682768735159e-07	6.20315429866354e-05	5.19308349082033e-05	FCGR1A/S100A9/MMP8/S100A8/CCR2/CASP4/AIM2/PARK7/FFAR2/VAMP8/IL18/LRRK2/S100A12/TLR7	14
GO:0007159	leukocyte cell-cell adhesion	23/291	414/18903	1.25715344790518e-07	6.20315429866354e-05	5.19308349082033e-05	ELANE/CTSG/MYB/ZBTB7B/ST3GAL4/S100A9/SMARCD3/S100A8/SOCS1/CCR2/SLC39A8/CD274/DUSP3/TNFSF13B/SLC7A1/VSIG4/LRG1/IL18/BAD/IRF1/PDCD1LG2/ACTB/CEACAM1	23
GO:0002274	myeloid leukocyte activation	17/291	237/18903	1.68777714565932e-07	7.28697782638413e-05	6.10042607779758e-05	BATF2/CTSG/AZU1/MMP8/CST7/DYSF/FCER1G/CCR2/CLEC4D/VAMP8/VSIG4/IL18/LRRK2/ANXA3/C1QA/S100A12/FES	17
GO:0034341	response to interferon-gamma	12/291	140/18903	1.78466967372219e-06	0.000635145491638038	0.000531723605135066	GBP5/IFITM3/GBP1/GAPDH/STAT1/GBP2/ZYX/GBP4/SOCS1/IRF1/GBP6/IFITM2	12
GO:0022411	cellular component disassembly	23/291	483/18903	1.83886940254209e-06	0.000635145491638038	0.000531723605135066	BNIP3L/ELANE/CST3/CTSG/C1QC/PLIN3/C1QB/MMP8/SMARCD3/ATP13A2/PARK7/VAMP8/DUSP3/CFL1/NAPA/SREBF2/PLEK/C1QA/CAPZB/STMN2/WIPI1/CAPG/PNPLA2	23
